REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
voip/or155.wav	 voip/dg155.wav	 2.606	 2.269	 8000	nb
voip/or161.wav	 voip/dg161.wav	 2.608	 2.270	 8000	nb
voip/or164.wav	 voip/dg164.wav	 2.850	 2.604	 8000	nb
voip/or166.wav	 voip/dg166.wav	 2.527	 2.168	 8000	nb
voip/or170.wav	 voip/dg170.wav	 2.452	 2.078	 8000	nb
voip/or179.wav	 voip/dg179.wav	 1.828	 1.506	 8000	nb
voip/or221.wav	 voip/dg221.wav	 2.774	 2.495	 8000	nb
voip/or229.wav	 voip/dg229.wav	 2.940	 2.734	 8000	nb
voip/or246.wav	 voip/dg246.wav	 2.205	 1.812	 8000	nb
voip/or272.wav	 voip/dg272.wav	 3.288	 3.251	 8000	nb
voip/u_am1s01.wav	 voip/u_am1s01b1c1.wav	 3.483	 3.530	 8000	nb
voip/u_am1s01.wav	 voip/u_am1s01b1c7.wav	 2.420	 2.041	 8000	nb
voip/u_am1s02.wav	 voip/u_am1s02b1c9.wav	 4.042	 4.195	 8000	nb
voip/u_am1s01.wav	 voip/u_am1s01b1c15.wav	 3.179	 3.090	 8000	nb
voip/u_am1s03.wav	 voip/u_am1s03b1c16.wav	 2.872	 2.634	 8000	nb
voip/u_am1s03.wav	 voip/u_am1s03b1c18.wav	 2.806	 2.540	 8000	nb
voip/u_am1s01.wav	 voip/u_am1s01b2c1.wav	 4.300	 4.415	 8000	nb
voip/u_am1s02.wav	 voip/u_am1s02b2c4.wav	 3.634	 3.733	 8000	nb
voip/u_am1s02.wav	 voip/u_am1s02b2c5.wav	 3.369	 3.369	 8000	nb
voip/u_am1s03.wav	 voip/u_am1s03b2c5.wav	 3.911	 4.062	 8000	nb
voip/u_am1s03.wav	 voip/u_am1s03b2c6.wav	 2.905	 2.683	 8000	nb
voip/u_am1s03.wav	 voip/u_am1s03b2c7.wav	 3.579	 3.661	 8000	nb
voip/u_am1s01.wav	 voip/u_am1s01b2c8.wav	 2.198	 1.806	 8000	nb
voip/u_am1s03.wav	 voip/u_am1s03b2c11.wav	 3.276	 3.232	 8000	nb
voip/u_am1s02.wav	 voip/u_am1s02b2c14.wav	 3.316	 3.292	 8000	nb
voip/u_af1s01.wav	 voip/u_af1s01b2c16.wav	 3.307	 3.279	 8000	nb
